song_base,artist_canon,artist_name_has_spanish_char,artist_name_has_spanish_word,title_has_en_vivo,title_has_con_feat,genius_annotation_count,genius_pageviews
okay,lil baby and lil durk,0,0,0,0,12.0,145123.0
man of my word,lil baby and lil durk,0,0,0,0,6.0,94358.0
medical,lil baby and lil durk,0,0,0,0,8.0,57351.0
rich off pain,"lil baby, lil durk and rod wave",0,0,0,0,3.0,112518.0
lying,lil baby and lil durk,0,0,0,0,4.0,54508.0
snowflakes,tom macdonald,0,0,0,0,4.0,
that's facts,lil baby and lil durk,0,0,0,0,10.0,84315.0
your power,billie eilish,0,0,0,0,7.0,2047799.0
please,lil baby and lil durk,0,0,0,0,11.0,97259.0
up the side,"lil baby, lil durk and young thug",0,0,0,0,3.0,58562.0
hope ur ok,olivia rodrigo,0,0,0,0,10.0,838111.0
if you want to,lil baby and lil durk,0,0,0,0,6.0,64449.0
seeing green,"nicki minaj, drake and lil wayne",0,0,0,0,41.0,869127.0
the good ones,gabby barrett,0,0,0,0,2.0,71516.0
hell of a view,eric church,0,0,0,0,0.0,15774.0
on me,lil baby,0,0,0,0,17.0,1083512.0
killer,eminem featuring jack harlow and cordae,0,0,0,0,,
amari,j. cole,0,0,0,0,32.0,387887.0
goosebumps,travis scott and hvme,0,0,0,0,,
solid,young thug and gunna featuring drake,0,0,0,0,,
hello,pop smoke featuring a boogie wit da hoodie,0,0,0,0,,
the business,tiesto,0,0,0,0,1.0,120366.0
95 south,j. cole,0,0,0,0,30.0,13527.0
drankin n smokin,future and lil uzi vert,0,0,0,0,,
hold on,justin bieber,0,0,0,0,3.0,331134.0
wasted on you,morgan wallen,0,0,0,0,3.0,293401.0
botella tras botella,gera mx + christian nodal,0,0,0,0,,
interlude,j. cole,0,0,0,0,1.0,30451.0
applying pressure,j. cole,0,0,0,0,12.0,522284.0
streets,doja cat,0,0,0,0,16.0,1047349.0
100 mil',j. cole and bas,0,0,0,0,,
let go my hand,"j. cole, bas and 6lack",0,0,0,0,15.0,650815.0
24 hours,a boogie wit da hoodie featuring lil durk,0,0,0,0,1.0,161554.0
punchin' the clock,j. cole,0,0,0,0,15.0,385583.0
the climb back,j. cole,0,0,0,0,,
hunger on hillside,j. cole and bas,0,0,0,0,,
close,j. cole,0,0,0,0,,
fractions,nicki minaj,0,0,0,0,37.0,310596.0
his and hers,"internet money, don toliver and lil uzi vert featuring gunna",0,0,0,0,1.0,
white teeth,youngboy never broke again,0,0,0,0,2.0,83521.0
itty bitty piggy,nicki minaj,0,0,0,0,27.0,1057757.0
street runner,rod wave,0,0,0,0,12.0,439248.0
la noche de anoche,bad bunny and rosalia,0,0,0,0,,
shottas,moneybagg yo,0,0,0,0,6.0,28992.0
never left,lil tecca,0,0,0,0,9.0,152450.0
higher power,coldplay,0,0,0,0,8.0,230384.0
lady,brett young,0,0,0,0,1.0,44723.0
crocodile teeth,nicki minaj and skillibeng,0,0,0,0,4.0,153137.0
34 35,ariana grande feat. doja cat and megan thee stallion,0,0,0,0,,
positions,ariana grande,0,0,0,0,10.0,2066230.0
you broke me first,tate mcrae,0,0,0,0,11.0,481210.0
dakiti,bad bunny and jhay cortez,0,0,0,0,,
you're mines still,yung bleu featuring drake,0,0,0,0,14.0,680257.0
therefore i am,billie eilish,0,0,0,0,6.0,1730050.0
what's your country song,thomas rhett,0,0,0,0,27.0,30766.0
good days,sza,0,0,0,0,14.0,2690459.0
just the way,parmalee x blanco brown,0,0,0,0,,
ramen and oj,joyner lucas and lil baby,0,0,0,0,2.0,
down to one,luke bryan,0,0,0,0,0.0,12338.0
hard for the next,moneybagg yo and future,0,0,0,0,,
what you need,don toliver,0,0,0,0,7.0,138753.0
i did it,"dj khaled featuring post malone, megan thee stallion, lil baby and dababy",0,0,0,0,0.0,
tampa,cico p,0,0,0,0,12.0,95623.0
big gangsta,kevin gates,0,0,0,0,7.0,193307.0
hellcats and trackhawks,lil durk,0,0,0,0,2.0,
let it go,dj khaled featuring justin bieber and 21 savage,0,0,0,0,,
richer,rod wave featuring polo g,0,0,0,0,,
headshot,"lil tjay, polo g and fivio foreign",0,0,0,0,,
go,moneybagg yo featuring big30,0,0,0,0,,
without you,the kid laroi and miley cyrus,0,0,0,0,,
go crazy,chris brown and young thug,0,0,0,0,,
34 35,ariana grande,0,0,0,0,9.0,2977660.0
sorry not sorry,"dj khaled featuring nas, jay-z and james fauntleroy",0,0,0,0,,
somebody like that,tenille arts,0,0,0,0,0.0,9339.0
body in motion,"dj khaled featuring bryson tiller, lil baby and roddy ricch",0,0,0,0,,
big paper,dj khaled featuring cardi b,0,0,0,0,16.0,91840.0
durag activity,baby keem and travis scott,0,0,0,0,,
final warning,nle choppa,0,0,0,0,19.0,129244.0
if pain was a person,moneybagg yo,0,0,0,0,0.0,72549.0
thankful,dj khaled featuring lil wayne and jeremih,0,0,0,0,,
for the night,pop smoke featuring lil baby and dababy,0,0,0,0,,
willow,taylor swift,0,0,0,0,17.0,1730056.0
damage,h.e.r.,0,0,0,0,3.0,224089.0
free promo,moneybagg yo featuring polo g and lil durk,0,0,0,0,5.0,27534.0
just say det,moneybagg yo,0,0,0,0,1.0,19437.0
anyone,justin bieber,0,0,0,0,4.0,599042.0
